sgf_category,windc_label
Assistance and subsidies,subsid
Capital outlay,capout
Cash and security holdings,cashsh
Corporate income tax,cortax
Correction,correc
Current charge,curchg
Current operation,curopr
Debt at end of fiscal year,debtfy
Direct expenditure,direxp
Direct general expenditure,dirgex
Education,educat
Exhibit: Salaries and wages,salary
General expenditure,genexp
General revenue,genrev
General sales,gsales
Governmental administration,govadm
Health,health
Highways,hghway
Hospitals,hosptl
Individual income tax,indtax
Insurance benefits and repayments,insben
Insurance trust expenditure,insexp
Insurance trust revenue,insrev
Interest on debt,intrst
Interest on general debt,intgen
Intergovernmental expenditure,intexp
Intergovernmental revenue,intrev
License taxes,lictax
Liquor stores expenditure,liqexp
Liquor stores revenue,liqrev
Miscellaneous general revenue,mscrev
Natural resources,natres
Other and unallocable,othuna
Other taxes,othtax
Parks and recreation,parkrc
Police protection,police
Public welfare,pubwel
Selective sales,ssales
Taxes,taxrev
Total expenditure,totexp
Total revenue,totrev
Utility expenditure,utlexp
Utility revenue,utlrev
